ID,Address Complete,Address First Line,Address Street Number,Address Street,Suburb,Council Area,State,Postcode,Lat,Long,Property Type,Occupancy Type,Development Zone,Land Area,Land Use,Beds,Baths,Sales Price,Year Built,Last Sale Date,Agency
16639483,4/17 SEFTON STREET PASCOE VALE VIC 3044,4/17 SEFTON STREET ,17,SEFTON STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.7234287,144.92600601,UNIT,Rented,General Residential Zone - Schedule 1,121,Strata Unit or Flat  (Unspecified),2.0,1.0,410000.0,2013,2013-02-20,
12485072,4/18-20 SEFTON STREET PASCOE VALE VIC 3044,4/18-20 SEFTON STREET ,18,SEFTON STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72273577,144.92605471,UNIT,Rented,General Residential Zone - Schedule 1,178,Strata Unit or Flat  (Unspecified),2.0,1.0,165000.0,2004,2000-05-04,
16072199,2/23-25 SEFTON STREET PASCOE VALE VIC 3044,2/23-25 SEFTON STREET ,23,SEFTON STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72335521,144.92540778,UNIT,Rented,General Residential Zone - Schedule 1,103,Strata Unit or Flat  (Unspecified),2.0,1.0,500000.0,2012,2017-09-27,Ray White Coburg
16155948,3/23-25 SEFTON STREET PASCOE VALE VIC 3044,3/23-25 SEFTON STREET ,23,SEFTON STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72335521,144.92540778,UNIT,Rented,General Residential Zone - Schedule 1,135,Strata Unit or Flat  (Unspecified),2.0,1.0,495000.0,2012,2021-02-09,
16136183,4/23-25 SEFTON STREET PASCOE VALE VIC 3044,4/23-25 SEFTON STREET ,23,SEFTON STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72335521,144.92540778,UNIT,Rented,General Residential Zone - Schedule 1,118,Single Strata Unit/Villa Unit/Townhouse,2.0,1.0,450000.0,2012,2018-10-23,Eview Group - C+M Residential
16209742,8/23-25 SEFTON STREET PASCOE VALE VIC 3044,8/23-25 SEFTON STREET ,23,SEFTON STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72335521,144.92540778,UNIT,Rented,General Residential Zone - Schedule 1,135,Strata Unit or Flat  (Unspecified),2.0,1.0,430000.0,2012,2012-12-19,
16086052,10/23-25 SEFTON STREET PASCOE VALE VIC 3044,10/23-25 SEFTON STREET ,23,SEFTON STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72335521,144.92540778,UNIT,Rented,General Residential Zone - Schedule 1,254,Strata Unit or Flat  (Unspecified),3.0,2.0,540000.0,2012,2012-06-04,
52897252,32 SEFTON STREET PASCOE VALE VIC 3044,32 SEFTON STREET ,32,SEFTON STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72281188,144.92493903,HOUSE,Owner Occupied,,168,Single Strata Unit/Villa Unit/Townhouse,3.0,2.0,935000.0,2023,2024-10-26,Whitefox Apartments
16192769,37 SHANLEY STREET PASCOE VALE VIC 3044,37 SHANLEY STREET ,37,SHANLEY STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.7195287,144.94079322,UNIT,Owner Occupied,Neighbourhood Residential Zone - Schedule 1,135,Single Strata Unit/Villa Unit/Townhouse,3.0,2.0,540000.0,2012,2020-07-03,Barry Plant Coburg
12485314,28A SIMS STREET PASCOE VALE VIC 3044,28A SIMS STREET ,28,SIMS STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72360675,144.94048084,UNIT,Owner Occupied,Neighbourhood Residential Zone - Schedule 1,229,Strata Unit or Flat  (Unspecified),3.0,2.0,373000.0,2005,2006-06-08,
12485366,2/19 SNELL GROVE PASCOE VALE VIC 3044,2/19 SNELL GROVE ,19,SNELL GROVE,PASCOE VALE,MERRI-BEK,VIC,3044,-37.71781104,144.93073416,UNIT,Rented,Neighbourhood Residential Zone - Schedule 1,174,Strata Unit or Flat  (Unspecified),3.0,1.0,268000.0,1970,2006-05-11,Brad Teal Real Estate Coburg
12485385,3/23 SNELL GROVE PASCOE VALE VIC 3044,3/23 SNELL GROVE ,23,SNELL GROVE,PASCOE VALE,MERRI-BEK,VIC,3044,-37.71777476,144.93039146,UNIT,Rented,Neighbourhood Residential Zone - Schedule 1,188,Single Strata Unit/Villa Unit/Townhouse,2.0,1.0,412000.0,2000,2014-12-15,Brad Teal Real Estate Pascoe Vale
12485387,4/23 SNELL GROVE PASCOE VALE VIC 3044,4/23 SNELL GROVE ,23,SNELL GROVE,PASCOE VALE,MERRI-BEK,VIC,3044,-37.71777476,144.93039146,UNIT,Government Owned - Other,Neighbourhood Residential Zone - Schedule 1,204,Strata Unit or Flat  (Unspecified),3.0,1.0,151500.0,2000,1999-04-09,
16981471,3/25 SNELL GROVE PASCOE VALE VIC 3044,3/25 SNELL GROVE ,25,SNELL GROVE,PASCOE VALE,MERRI-BEK,VIC,3044,-37.71775661,144.9302201,UNIT,Rented,Neighbourhood Residential Zone - Schedule 1,1020,Strata Unit or Flat  (Unspecified),2.0,1.0,100000.0,2014,2014-09-10,
16983194,4/25 SNELL GROVE PASCOE VALE VIC 3044,4/25 SNELL GROVE ,25,SNELL GROVE,PASCOE VALE,MERRI-BEK,VIC,3044,-37.71775661,144.9302201,UNIT,Rented,Neighbourhood Residential Zone - Schedule 1,1020,Strata Unit or Flat  (Unspecified),2.0,1.0,390000.0,2012,2014-07-10,
16989377,7/25 SNELL GROVE PASCOE VALE VIC 3044,7/25 SNELL GROVE ,25,SNELL GROVE,PASCOE VALE,MERRI-BEK,VIC,3044,-37.71775661,144.9302201,UNIT,Rented,Neighbourhood Residential Zone - Schedule 1,1020,Strata Unit or Flat  (Unspecified),1.0,1.0,330000.0,2014,2019-11-16,Professionals A E Gibson & Co - Glenroy
12485399,2/26 SNELL GROVE PASCOE VALE VIC 3044,2/26 SNELL GROVE ,26,SNELL GROVE,PASCOE VALE,MERRI-BEK,VIC,3044,-37.71816144,144.93203315,UNIT,Rented,Neighbourhood Residential Zone - Schedule 1,127,Strata Unit or Flat  (Unspecified),2.0,1.0,320000.0,1960,2014-02-13,Lewis Realty Pty Ltd - Coburg
12485401,3/26 SNELL GROVE PASCOE VALE VIC 3044,3/26 SNELL GROVE ,26,SNELL GROVE,PASCOE VALE,MERRI-BEK,VIC,3044,-37.71816144,144.93203315,UNIT,Rented,Neighbourhood Residential Zone - Schedule 1,125,Strata Unit or Flat  (Unspecified),2.0,1.0,340000.0,1970,2010-10-09,Brad Teal Real Estate Brunswick
12485405,5/26 SNELL GROVE PASCOE VALE VIC 3044,5/26 SNELL GROVE ,26,SNELL GROVE,PASCOE VALE,MERRI-BEK,VIC,3044,-37.71816144,144.93203315,UNIT,Rented,Neighbourhood Residential Zone - Schedule 1,150,Strata Unit or Flat  (Unspecified),2.0,1.0,220000.0,1970,2006-10-16,Barry Plant
12485411,10/26 SNELL GROVE PASCOE VALE VIC 3044,10/26 SNELL GROVE ,26,SNELL GROVE,PASCOE VALE,MERRI-BEK,VIC,3044,-37.71816144,144.93203315,UNIT,Rented,Neighbourhood Residential Zone - Schedule 1,118,Strata Unit or Flat  (Unspecified),2.0,1.0,335000.0,1980,2010-10-26,A E Gibson & Co Glenroy
14497988,1/27 SNELL GROVE PASCOE VALE VIC 3044,1/27 SNELL GROVE ,27,SNELL GROVE,PASCOE VALE,MERRI-BEK,VIC,3044,-37.7177385,144.93004877,HOUSE,Rented,Neighbourhood Residential Zone - Schedule 1,209,Strata Unit or Flat  (Unspecified),3.0,1.0,441000.0,2008,2008-12-23,Oak Park Real Estate
14513839,2/27 SNELL GROVE PASCOE VALE VIC 3044,2/27 SNELL GROVE ,27,SNELL GROVE,PASCOE VALE,MERRI-BEK,VIC,3044,-37.7177385,144.93004877,UNIT,Rented,Neighbourhood Residential Zone - Schedule 1,134,Strata Unit or Flat  (Unspecified),2.0,1.0,0.0,2008,2021-03-09,
14544552,4/27 SNELL GROVE PASCOE VALE VIC 3044,4/27 SNELL GROVE ,27,SNELL GROVE,PASCOE VALE,MERRI-BEK,VIC,3044,-37.7177385,144.93004877,UNIT,Rented,Neighbourhood Residential Zone - Schedule 1,175,Single Strata Unit/Villa Unit/Townhouse,2.0,1.0,429000.0,2008,2013-12-18,Oak Park Real Estate - Oak Park
12485418,1/28 SNELL GROVE PASCOE VALE VIC 3044,1/28 SNELL GROVE ,28,SNELL GROVE,PASCOE VALE,MERRI-BEK,VIC,3044,-37.71793921,144.93195442,UNIT,Rented,Neighbourhood Residential Zone - Schedule 1,99,Strata Unit or Flat  (Unspecified),3.0,1.0,410000.0,1980,2012-12-18,Nelson Alexander Essendon
12485426,2/28 SNELL GROVE PASCOE VALE VIC 3044,2/28 SNELL GROVE ,28,SNELL GROVE,PASCOE VALE,MERRI-BEK,VIC,3044,-37.71793921,144.93195442,UNIT,Rented,Neighbourhood Residential Zone - Schedule 1,96,Single Strata Unit/Villa Unit/Townhouse,3.0,1.0,470000.0,1980,2013-10-16,Nelson Alexander Pascoe Vale
12366470,3/28 SNELL GROVE PASCOE VALE VIC 3044,3/28 SNELL GROVE ,28,SNELL GROVE,PASCOE VALE,MERRI-BEK,VIC,3044,-37.71793921,144.93195442,UNIT,Rented,Neighbourhood Residential Zone - Schedule 1,101,Strata Unit or Flat  (Unspecified),3.0,1.0,105000.0,1980,1991-11-23,
12485436,2/29 SNELL GROVE PASCOE VALE VIC 3044,2/29 SNELL GROVE ,29,SNELL GROVE,PASCOE VALE,MERRI-BEK,VIC,3044,-37.71772035,144.92987743,UNIT,Rented,Neighbourhood Residential Zone - Schedule 1,150,Strata Unit or Flat  (Unspecified),3.0,1.0,375000.0,2005,2008-11-02,Stockdale & Leggo Glenroy
12485438,3/29 SNELL GROVE PASCOE VALE VIC 3044,3/29 SNELL GROVE ,29,SNELL GROVE,PASCOE VALE,MERRI-BEK,VIC,3044,-37.71772035,144.92987743,UNIT,Rented,Neighbourhood Residential Zone - Schedule 1,150,Strata Unit or Flat  (Unspecified),2.0,1.0,380500.0,2005,2012-03-29,Pennisi Real Estate
12485440,4/29 SNELL GROVE PASCOE VALE VIC 3044,4/29 SNELL GROVE ,29,SNELL GROVE,PASCOE VALE,MERRI-BEK,VIC,3044,-37.71772035,144.92987743,UNIT,Rented,Neighbourhood Residential Zone - Schedule 1,162,Single Strata Unit/Villa Unit/Townhouse,2.0,1.0,407500.0,2005,2013-11-30,Nelson Alexander Pty Ltd
12485461,1/34 SNELL GROVE PASCOE VALE VIC 3044,1/34 SNELL GROVE ,34,SNELL GROVE,PASCOE VALE,MERRI-BEK,VIC,3044,-37.71721455,144.93123186,UNIT,Rented,Neighbourhood Residential Zone - Schedule 1,156,Strata Unit or Flat  (Unspecified),2.0,1.0,357500.0,1995,2009-03-23,Brad Teal Real Estate
12485464,2/34 SNELL GROVE PASCOE VALE VIC 3044,2/34 SNELL GROVE ,34,SNELL GROVE,PASCOE VALE,MERRI-BEK,VIC,3044,-37.71721455,144.93123186,UNIT,Owner Occupied,Neighbourhood Residential Zone - Schedule 1,124,Strata Unit or Flat  (Unspecified),2.0,,250000.0,1970,2005-11-14,Anderson Real Estate Essendon
35483308,36 SNELL GROVE PASCOE VALE VIC 3044,36 SNELL GROVE ,36,SNELL GROVE,PASCOE VALE,MERRI-BEK,VIC,3044,-37.7171919,144.93101937,UNIT,,Neighbourhood Residential Zone - Schedule 1,238,Strata Unit or Flat  (Unspecified),2.0,,,,,
47843414,2/36 SNELL GROVE PASCOE VALE VIC 3044,2/36 SNELL GROVE ,36,SNELL GROVE,PASCOE VALE,MERRI-BEK,VIC,3044,-37.7171919,144.93101937,UNIT,Rented,,129,Single Strata Unit/Villa Unit/Townhouse,2.0,1.0,630000.0,1990,2021-05-15,Nelson Alexander Coburg
47843416,4/36 SNELL GROVE PASCOE VALE VIC 3044,4/36 SNELL GROVE ,36,SNELL GROVE,PASCOE VALE,MERRI-BEK,VIC,3044,-37.7171919,144.93101937,UNIT,Rented,,187,Strata Unit or Flat  (Unspecified),2.0,1.0,610000.0,1990,2023-09-09,Oak Park Real Estate Pty Ltd
52220788,48A SNELL GROVE PASCOE VALE VIC 3044,48A SNELL GROVE ,48,SNELL GROVE,PASCOE VALE,MERRI-BEK,VIC,3044,-37.71705775,144.9294422,UNIT,Rented,,361,Conjoined Strata Unit/Townhouse,4.0,2.0,1425000.0,,2023-08-30,C + M Residential
43975023,3 SOMERSET STREET PASCOE VALE VIC 3044,3 SOMERSET STREET ,3,SOMERSET STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.73085202,144.92587975,HOUSE,,General Residential Zone - Schedule 1,143,Single Strata Unit/Villa Unit/Townhouse,3.0,2.0,,,,
37529764,1/3 SOMERSET STREET PASCOE VALE VIC 3044,1/3 SOMERSET STREET ,3,SOMERSET STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.73085202,144.92587975,UNIT,Rented,General Residential Zone - Schedule 1,143,Single Strata Unit/Villa Unit/Townhouse,2.0,2.0,665000.0,2018,2018-09-05,Nelson Alexander Pascoe Vale
37529765,2/3 SOMERSET STREET PASCOE VALE VIC 3044,2/3 SOMERSET STREET ,3,SOMERSET STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.73085202,144.92587975,UNIT,Owner Occupied,General Residential Zone - Schedule 1,67,Single Strata Unit/Villa Unit/Townhouse,2.0,1.0,600000.0,2018,2021-05-24,
37529625,3/3 SOMERSET STREET PASCOE VALE VIC 3044,3/3 SOMERSET STREET ,3,SOMERSET STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.73085202,144.92587975,UNIT,Owner Occupied,General Residential Zone - Schedule 1,67,Single Strata Unit/Villa Unit/Townhouse,2.0,1.0,602000.0,2018,2021-10-15,
37529638,4/3 SOMERSET STREET PASCOE VALE VIC 3044,4/3 SOMERSET STREET ,3,SOMERSET STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.73085202,144.92587975,UNIT,Owner Occupied,General Residential Zone - Schedule 1,67,Single Strata Unit/Villa Unit/Townhouse,2.0,1.0,609000.0,2018,2021-10-04,Nelson Alexander Pascoe Vale
37529626,5/3 SOMERSET STREET PASCOE VALE VIC 3044,5/3 SOMERSET STREET ,3,SOMERSET STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.73085202,144.92587975,HOUSE,Owner Occupied,General Residential Zone - Schedule 1,67,Single Strata Unit/Villa Unit/Townhouse,2.0,1.0,610000.0,2018,2021-05-12,Nelson Alexander Pascoe Vale
48453096,STENNIS STREET PASCOE VALE VIC 3044,STENNIS STREET ,,STENNIS STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.73112586,144.94806657,OTHER,,,272,Single Strata Unit/Villa Unit/Townhouse,,,,,,
43980463,11 STENNIS STREET PASCOE VALE VIC 3044,11 STENNIS STREET ,11,STENNIS STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.73139837,144.94802369,OTHER,,General Residential Zone - Schedule 1,339,Strata Unit or Flat  (Unspecified),,,,,,
37209011,1/11 STENNIS STREET PASCOE VALE VIC 3044,1/11 STENNIS STREET ,11,STENNIS STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.73139837,144.94802369,UNIT,Owner Occupied,General Residential Zone - Schedule 1,339,Single Strata Unit/Villa Unit/Townhouse,3.0,1.0,757000.0,2000,2017-07-22,Brad Teal Real Estate Pascoe Vale
37209012,2/11 STENNIS STREET PASCOE VALE VIC 3044,2/11 STENNIS STREET ,11,STENNIS STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.73139837,144.94802369,UNIT,Owner Occupied,General Residential Zone - Schedule 1,223,Strata Unit or Flat  (Unspecified),3.0,1.0,785000.0,2000,2024-01-22,Love Real Estate - Reservoir
48453094,1/15 STENNIS STREET PASCOE VALE VIC 3044,1/15 STENNIS STREET ,15,STENNIS STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.73112586,144.94806657,HOUSE,Owner Occupied,,272,Single Strata Unit/Villa Unit/Townhouse,4.0,2.0,920000.0,2020,2022-02-16,Ray White Coburg
17563880,1/25 STENNIS STREET PASCOE VALE VIC 3044,1/25 STENNIS STREET ,25,STENNIS STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.73044461,144.94817377,UNIT,Owner Occupied,General Residential Zone - Schedule 1,212,Single Strata Unit/Villa Unit/Townhouse,3.0,2.0,715000.0,2016,2016-07-19,Raine & Horne - Ascot Vale
17870198,1/6 STEWART STREET PASCOE VALE VIC 3044,1/6 STEWART STREET ,6,STEWART STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.7276332,144.9264254,UNIT,Rented,General Residential Zone - Schedule 1,150,Single Strata Unit/Villa Unit/Townhouse,2.0,1.0,547000.0,2016,2016-08-13,
17782496,3/6 STEWART STREET PASCOE VALE VIC 3044,3/6 STEWART STREET ,6,STEWART STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.7276332,144.9264254,UNIT,Rented,General Residential Zone - Schedule 1,82,Single Strata Unit/Villa Unit/Townhouse,2.0,2.0,530000.0,2016,2015-11-17,
43945289,8 STEWART STREET PASCOE VALE VIC 3044,8 STEWART STREET ,8,STEWART STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72768588,144.9262291,UNIT,,General Residential Zone - Schedule 1,264,Single Strata Unit/Villa Unit/Townhouse,2.0,2.0,,,,
15739633,2/8 STEWART STREET PASCOE VALE VIC 3044,2/8 STEWART STREET ,8,STEWART STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72768588,144.9262291,UNIT,Rented,General Residential Zone - Schedule 1,102,Single Strata Unit/Villa Unit/Townhouse,2.0,1.0,580000.0,2010,2017-07-22,Nelson Alexander
15538877,3/8 STEWART STREET PASCOE VALE VIC 3044,3/8 STEWART STREET ,8,STEWART STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72768588,144.9262291,UNIT,Rented,General Residential Zone - Schedule 1,99,Single Strata Unit/Villa Unit/Townhouse,2.0,1.0,590000.0,2011,2018-03-20,Carrolls Estate Agents - Greensborough
15534183,4/8 STEWART STREET PASCOE VALE VIC 3044,4/8 STEWART STREET ,8,STEWART STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72768588,144.9262291,UNIT,Owner Occupied,General Residential Zone - Schedule 1,99,Single Strata Unit/Villa Unit/Townhouse,3.0,1.0,655000.0,2011,2024-08-10,McGrath Northcote
15810993,5/8 STEWART STREET PASCOE VALE VIC 3044,5/8 STEWART STREET ,8,STEWART STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72768588,144.9262291,HOUSE,Rented,General Residential Zone - Schedule 1,156,Strata Unit or Flat  (Unspecified),3.0,1.0,599000.0,2010,2010-11-19,
43978230,10 STEWART STREET PASCOE VALE VIC 3044,10 STEWART STREET ,10,STEWART STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72773749,144.92603191,UNIT,,General Residential Zone - Schedule 1,280,Single Strata Unit/Villa Unit/Townhouse,2.0,2.0,,,,
37549987,1/10 STEWART STREET PASCOE VALE VIC 3044,1/10 STEWART STREET ,10,STEWART STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72773749,144.92603191,HOUSE,Rented,General Residential Zone - Schedule 1,192,Single Strata Unit/Villa Unit/Townhouse,2.0,1.0,680000.0,2018,2017-11-23,Nelson Alexander
37550021,2/10 STEWART STREET PASCOE VALE VIC 3044,2/10 STEWART STREET ,10,STEWART STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72773749,144.92603191,UNIT,Owner Occupied,General Residential Zone - Schedule 1,90,Single Strata Unit/Villa Unit/Townhouse,2.0,2.0,687000.0,2018,2024-12-24,Nelson Alexander - Pascoe Vale
37550022,3/10 STEWART STREET PASCOE VALE VIC 3044,3/10 STEWART STREET ,10,STEWART STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72773749,144.92603191,UNIT,Owner Occupied,General Residential Zone - Schedule 1,90,Single Strata Unit/Villa Unit/Townhouse,2.0,2.0,700000.0,2019,2022-07-05,Nelson Alexander Keilor East
37550024,5/10 STEWART STREET PASCOE VALE VIC 3044,5/10 STEWART STREET ,10,STEWART STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72773749,144.92603191,HOUSE,Rented,General Residential Zone - Schedule 1,90,Single Strata Unit/Villa Unit/Townhouse,2.0,2.0,685000.0,2018,2022-09-11,Nelson Alexander Keilor East
37549988,6/10 STEWART STREET PASCOE VALE VIC 3044,6/10 STEWART STREET ,10,STEWART STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72773749,144.92603191,UNIT,Owner Occupied,General Residential Zone - Schedule 1,111,Single Strata Unit/Villa Unit/Townhouse,2.0,2.0,694000.0,2018,2023-09-23,Nelson Alexander Pascoe Vale
16949348,13 STEWART STREET PASCOE VALE VIC 3044,13 STEWART STREET ,13,STEWART STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.7283006,144.9258041,UNIT,Rented,Residential Growth Zone - Schedule 2,578,Strata Unit or Flat  (Unspecified),2.0,1.0,429000.0,2014,2013-06-15,
12485684,2/14 STEWART STREET PASCOE VALE VIC 3044,2/14 STEWART STREET ,14,STEWART STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72784272,144.92563784,UNIT,Rented,General Residential Zone - Schedule 1,95,Single Strata Unit/Villa Unit/Townhouse,2.0,1.0,485000.0,1970,2018-03-14,Brad Teal Real Estate Pascoe Vale
12485680,3/14 STEWART STREET PASCOE VALE VIC 3044,3/14 STEWART STREET ,14,STEWART STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72784272,144.92563784,UNIT,Owner Occupied,General Residential Zone - Schedule 1,88,Strata Unit or Flat  (Unspecified),2.0,,97500.0,1980,1990-09-04,
12485686,4/14 STEWART STREET PASCOE VALE VIC 3044,4/14 STEWART STREET ,14,STEWART STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72784272,144.92563784,UNIT,Owner Occupied,General Residential Zone - Schedule 1,94,Strata Unit or Flat  (Unspecified),2.0,,33000.0,1980,1980-11-16,
12485682,5/14 STEWART STREET PASCOE VALE VIC 3044,5/14 STEWART STREET ,14,STEWART STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72784272,144.92563784,UNIT,Owner Occupied,General Residential Zone - Schedule 1,124,Strata Unit or Flat  (Unspecified),2.0,,88000.0,1980,1991-01-09,
12485700,2/23 STEWART STREET PASCOE VALE VIC 3044,2/23 STEWART STREET ,23,STEWART STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72869396,144.92476166,FLATS,Owner Occupied,Residential Growth Zone - Schedule 2,180,Strata Unit or Flat  (Unspecified),,,320000.0,2000,2004-06-22,Barry Plant Doherty Real Estate Pascoe Vale
12485702,3/23 STEWART STREET PASCOE VALE VIC 3044,3/23 STEWART STREET ,23,STEWART STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72869396,144.92476166,UNIT,Owner Occupied,Residential Growth Zone - Schedule 2,136,Single Strata Unit/Villa Unit/Townhouse,3.0,2.0,695000.0,2000,2019-09-19,Ray White - Glenroy
12485706,5/23 STEWART STREET PASCOE VALE VIC 3044,5/23 STEWART STREET ,23,STEWART STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72869396,144.92476166,UNIT,Owner Occupied,Residential Growth Zone - Schedule 2,169,Single Strata Unit/Villa Unit/Townhouse,3.0,2.0,705000.0,2000,2019-08-08,Jellis Craig - Brunswick
12480860,1A SUNSHINE STREET PASCOE VALE VIC 3044,1A SUNSHINE STREET ,1,SUNSHINE STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72073285,144.94847491,UNIT,Owner Occupied,Neighbourhood Residential Zone - Schedule 1,218,Strata Unit or Flat  (Unspecified),2.0,,125000.0,1996,1997-01-27,E J Doherty & Company
12480862,1B SUNSHINE STREET PASCOE VALE VIC 3044,1B SUNSHINE STREET ,1,SUNSHINE STREET,PASCOE VALE,MERRI-BEK,VIC,3044,-37.72062616,144.94849346,UNIT,Rented,Neighbourhood Residential Zone - Schedule 1,219,Strata Unit or Flat  (Unspecified),2.0,1.0,125000.0,1996,1997-02-28,E J Doherty & Company
